domain,url,discovery_source,risk_score,risk_level,investigated_at
egypt1xbetgames.com,http://egypt1xbetgames.com,keyword_match,62,HIGH,2026-07-26 09:53:26.169051+00:00
m-758pokerklas.com,http://m-758pokerklas.com,keyword_match,62,HIGH,2026-07-26 14:24:52.362179+00:00
poker.casinomaxi9109.com,http://poker.casinomaxi9109.com,keyword_match,62,HIGH,2026-07-26 10:24:36.531515+00:00
my-account.casinomaxi9109.com,http://my-account.casinomaxi9109.com,keyword_match,62,HIGH,2026-07-26 10:37:19.643689+00:00
poker.casinometropol948.com,http://poker.casinometropol948.com,keyword_match,61,HIGH,2026-07-26 09:42:55.360453+00:00
enjoybetguncel.com,http://enjoybetguncel.com,keyword_match,61,HIGH,2026-07-26 12:39:32.579540+00:00
1xbet-bk-guide.ru,http://1xbet-bk-guide.ru,keyword_match,61,HIGH,2026-07-26 11:38:30.256430+00:00
1xbet-36921.ru,http://1xbet-36921.ru,keyword_match,61,HIGH,2026-07-26 11:32:13.587437+00:00
1xbet-81465.ru,http://1xbet-81465.ru,keyword_match,61,HIGH,2026-07-26 11:34:12.295799+00:00
baxterbetcasino-nl-34196.pages.dev,http://baxterbetcasino-nl-34196.pages.dev,keyword_match,61,HIGH,2026-07-26 17:21:09.954788+00:00
big-wheel-multislot-pinco-v2-geo.pu550ev.com,http://big-wheel-multislot-pinco-v2-geo.pu550ev.com,keyword_match,60,HIGH,2026-07-24 03:23:20.796582+00:00
1xbet-52784.ru,http://1xbet-52784.ru,keyword_match,60,HIGH,2026-07-26 11:31:15.886331+00:00
jilimax888.online,http://jilimax888.online,keyword_match,60,HIGH,2026-07-26 11:31:04.111436+00:00
joycasino.casino773.buzz,http://joycasino.casino773.buzz,keyword_match,60,HIGH,2026-07-26 14:54:45.286186+00:00
my-account.casinometropol1008.com,http://my-account.casinometropol1008.com,keyword_match,60,HIGH,2026-07-26 12:20:38.253667+00:00
highflybetcasino-com-ro-58624.pages.dev,http://highflybetcasino-com-ro-58624.pages.dev,keyword_match,60,HIGH,2026-07-26 16:27:51.101891+00:00
1xbet-service-bk.ru,http://1xbet-service-bk.ru,keyword_match,60,HIGH,2026-07-26 13:44:00.726059+00:00
1xbet-jawalarena-com.pages.dev,http://1xbet-jawalarena-com.pages.dev,keyword_match,60,HIGH,2026-07-26 16:58:02.785437+00:00
bestonlinecasinotexas-us-com.pages.dev,http://bestonlinecasinotexas-us-com.pages.dev,keyword_match,60,HIGH,2026-07-26 16:46:46.960018+00:00
graphql-betting.club-vulkan.space,http://graphql-betting.club-vulkan.space,keyword_match,60,HIGH,2026-07-26 10:35:45.185951+00:00
pinco-azbaku.com,http://pinco-azbaku.com,keyword_match,60,HIGH,2026-07-26 16:16:14.373629+00:00
melbet.online-23g.casino,http://melbet.online-23g.casino,keyword_match,60,HIGH,2026-07-26 12:25:27.423540+00:00
1xbet-ruskiy.pro,http://1xbet-ruskiy.pro,keyword_match,60,HIGH,2026-07-26 12:27:42.105258+00:00
vulkanveg-argentreel.click,http://vulkanveg-argentreel.click,keyword_match,60,HIGH,2026-07-26 12:41:53.900982+00:00
vavada.online-23g.casino,http://vavada.online-23g.casino,keyword_match,60,HIGH,2026-07-26 15:07:49.515575+00:00
matbetonay4.com,http://matbetonay4.com,keyword_match,59,MEDIUM,2026-07-26 09:56:13.846565+00:00
www.nl-monixbetcasino.com,http://www.nl-monixbetcasino.com,keyword_match,59,MEDIUM,2026-07-26 09:33:56.016425+00:00
vavadaapk37.vip,http://vavadaapk37.vip,keyword_match,59,MEDIUM,2026-07-26 15:01:22.418199+00:00
pinco.online-23g.casino,http://pinco.online-23g.casino,keyword_match,59,MEDIUM,2026-07-26 13:01:07.091094+00:00
1xbet-64318.ru,http://1xbet-64318.ru,keyword_match,59,MEDIUM,2026-07-26 11:35:01.696080+00:00
vavadaapk32.vip,http://vavadaapk32.vip,keyword_match,59,MEDIUM,2026-07-26 14:09:25.026880+00:00
1xbet-79241.ru,http://1xbet-79241.ru,keyword_match,59,MEDIUM,2026-07-26 11:28:34.227391+00:00
sportsbook.casinomaxi9109.com,http://sportsbook.casinomaxi9109.com,keyword_match,59,MEDIUM,2026-07-26 14:07:16.610494+00:00
8f4d17b3-f573-4ae5-a3f4-066b137ffeb6.riobetcasino-fhp.top,http://8f4d17b3-f573-4ae5-a3f4-066b137ffeb6.riobetcasino-fhp.top,keyword_match,59,MEDIUM,2026-07-23 18:00:53.548469+00:00
retrobetcasino.site,http://retrobetcasino.site,keyword_match,59,MEDIUM,2026-07-26 11:38:47.288649+00:00
1xbet-36518.ru,http://1xbet-36518.ru,keyword_match,59,MEDIUM,2026-07-26 11:29:00.491080+00:00
1xbet-account-help.ru,http://1xbet-account-help.ru,keyword_match,59,MEDIUM,2026-07-26 11:43:42.080354+00:00
onlinecasinorealmoney.gr,http://onlinecasinorealmoney.gr,keyword_match,59,MEDIUM,2026-07-26 10:31:52.701550+00:00
e22034a0-b942-4c2d-b13e-f4560c1d4c6d.joycasino-fhj.top,http://e22034a0-b942-4c2d-b13e-f4560c1d4c6d.joycasino-fhj.top,keyword_match,59,MEDIUM,2026-07-23 21:01:01.685036+00:00
1xbet-61387.ru,http://1xbet-61387.ru,keyword_match,59,MEDIUM,2026-07-26 13:40:40.440952+00:00
m-racing.casinometropol1008.com,http://m-racing.casinometropol1008.com,keyword_match,59,MEDIUM,2026-07-26 11:04:15.950038+00:00
racing.casinomaxi9109.com,http://racing.casinomaxi9109.com,keyword_match,58,MEDIUM,2026-07-26 10:25:34.141559+00:00
0afmf.riobetcasino-pxb.top,http://0afmf.riobetcasino-pxb.top,keyword_match,58,MEDIUM,2026-07-26 15:06:00.296004+00:00
bitstarzcasinos.de,http://bitstarzcasinos.de,keyword_match,58,MEDIUM,2026-07-26 13:01:38.759089+00:00
ag60plus-vulkaneifel.de,http://ag60plus-vulkaneifel.de,keyword_match,58,MEDIUM,2026-07-26 13:07:38.815789+00:00
gxbet-france-fr.pages.dev,http://gxbet-france-fr.pages.dev,keyword_match,58,MEDIUM,2026-07-26 17:07:55.470482+00:00
1xbet-45826.ru,http://1xbet-45826.ru,keyword_match,58,MEDIUM,2026-07-26 11:27:38.853525+00:00
lojilifeinsurancewithf65876543210761update.update.update.netxrdgk.tphost.site,http://lojilifeinsurancewithf65876543210761update.update.update.netxrdgk.tphost.site,keyword_match,58,MEDIUM,2026-07-24 10:11:37.224532+00:00
1xbet-87462.ru,http://1xbet-87462.ru,keyword_match,58,MEDIUM,2026-07-26 11:30:09.450059+00:00
1xbet-97246.ru,http://1xbet-97246.ru,keyword_match,58,MEDIUM,2026-07-26 11:35:33.782105+00:00
cg4o5.1xbet-uyfd.top,http://cg4o5.1xbet-uyfd.top,keyword_match,58,MEDIUM,2026-07-26 17:16:38.887464+00:00
nyxbet-casino-7-fr-9f5bca01-8v5.pages.dev,http://nyxbet-casino-7-fr-9f5bca01-8v5.pages.dev,keyword_match,58,MEDIUM,2026-07-23 19:06:16.329436+00:00
t0rpss0qojilifeinsurancewithf65876543210761update.update.update.netxrdgk.tphost.site,http://t0rpss0qojilifeinsurancewithf65876543210761update.update.update.netxrdgk.tphost.site,keyword_match,58,MEDIUM,2026-07-23 22:00:25.326941+00:00
wheel-balloon-pinco-kz.pu550ev.com,http://wheel-balloon-pinco-kz.pu550ev.com,keyword_match,57,MEDIUM,2026-07-24 09:47:52.230791+00:00
pinco-azzz.click,http://pinco-azzz.click,keyword_match,57,MEDIUM,2026-07-26 12:19:27.705846+00:00
m.casinomaxi9109.com,http://m.casinomaxi9109.com,keyword_match,57,MEDIUM,2026-07-26 11:18:05.172306+00:00
1xbet-mobil-az.com,http://1xbet-mobil-az.com,keyword_match,57,MEDIUM,2026-07-26 09:46:48.848660+00:00
multigame-pinco-kg.pu550ev.com,http://multigame-pinco-kg.pu550ev.com,keyword_match,57,MEDIUM,2026-07-24 07:20:57.200057+00:00
rxbetbet.com,http://rxbetbet.com,keyword_match,57,MEDIUM,2026-07-26 10:09:16.818413+00:00
nl-monixbetcasino.com,http://nl-monixbetcasino.com,keyword_match,56,MEDIUM,2026-07-26 09:33:48.436349+00:00
sis-egt.maxbet.ba,http://sis-egt.maxbet.ba,keyword_match,56,MEDIUM,2026-07-26 09:48:39.934428+00:00
kyc-api.maxbet.ba,http://kyc-api.maxbet.ba,keyword_match,56,MEDIUM,2026-07-26 09:48:33.099328+00:00
authproxy.maxbet.ba,http://authproxy.maxbet.ba,keyword_match,56,MEDIUM,2026-07-26 09:48:26.852794+00:00
sportsbooklive.casinometropol1008.com,http://sportsbooklive.casinometropol1008.com,keyword_match,56,MEDIUM,2026-07-26 12:33:42.914282+00:00
coreapi.maxbet.ba,http://coreapi.maxbet.ba,keyword_match,56,MEDIUM,2026-07-26 09:48:26.874517+00:00
core-system-gateway.maxbet.ba,http://core-system-gateway.maxbet.ba,keyword_match,56,MEDIUM,2026-07-26 09:48:53.819328+00:00
message-sender.maxbet.ba,http://message-sender.maxbet.ba,keyword_match,56,MEDIUM,2026-07-26 09:48:33.450520+00:00
sisgames.maxbet.ba,http://sisgames.maxbet.ba,keyword_match,56,MEDIUM,2026-07-26 09:48:39.608392+00:00
sisgameswebapi.maxbet.ba,http://sisgameswebapi.maxbet.ba,keyword_match,56,MEDIUM,2026-07-26 09:48:45.470503+00:00
sispayments.maxbet.ba,http://sispayments.maxbet.ba,keyword_match,56,MEDIUM,2026-07-26 09:48:50.821191+00:00
sispayments-web.maxbet.ba,http://sispayments-web.maxbet.ba,keyword_match,56,MEDIUM,2026-07-26 09:48:47.364172+00:00
casino-pinco-azer-ink-29585b8d.pages.dev,http://casino-pinco-azer-ink-29585b8d.pages.dev,keyword_match,56,MEDIUM,2026-07-24 04:38:36.452041+00:00
jili9711.com,http://jili9711.com,keyword_match,56,MEDIUM,2026-07-26 11:42:08.496192+00:00
road-chicken-form-pinco-az.pu550ev.com,http://road-chicken-form-pinco-az.pu550ev.com,keyword_match,56,MEDIUM,2026-07-24 09:55:20.334661+00:00
megapari-guncel-giris.it.com,http://megapari-guncel-giris.it.com,keyword_match,56,MEDIUM,2026-07-26 13:59:32.874961+00:00
betway-mega-win-arena.click,http://betway-mega-win-arena.click,keyword_match,56,MEDIUM,2026-07-23 17:45:07.405397+00:00
onlinecasinos77china.com,http://onlinecasinos77china.com,keyword_match,56,MEDIUM,2026-07-26 16:28:24.863541+00:00
betpipo2026gunceladres.vip,http://betpipo2026gunceladres.vip,keyword_match,56,MEDIUM,2026-07-26 16:26:57.036406+00:00
1xbet-app-pak.com,http://1xbet-app-pak.com,keyword_match,56,MEDIUM,2026-07-26 10:18:51.910632+00:00
jojobet8954.com,http://jojobet8954.com,keyword_match,56,MEDIUM,2026-07-26 16:52:31.033610+00:00
multigame-pinco-kz-kk.pu550ev.com,http://multigame-pinco-kz-kk.pu550ev.com,keyword_match,56,MEDIUM,2026-07-24 06:44:34.996329+00:00
jilievoapplogin.net,http://jilievoapplogin.net,keyword_match,56,MEDIUM,2026-07-26 13:16:35.718538+00:00
tr.1xbet2026guncelgiris.vip,http://tr.1xbet2026guncelgiris.vip,keyword_match,55,MEDIUM,2026-07-24 06:42:09.349282+00:00
8xbet-vip-2026.com,http://8xbet-vip-2026.com,keyword_match,55,MEDIUM,2026-07-26 10:32:38.774737+00:00
jiliphgo.shop,http://jiliphgo.shop,keyword_match,55,MEDIUM,2026-07-26 13:47:34.372855+00:00
twincasinos-fr-com-4fff42d3.pages.dev,http://twincasinos-fr-com-4fff42d3.pages.dev,keyword_match,55,MEDIUM,2026-07-24 00:23:25.654881+00:00
1xbetmyanmar-app.com,http://1xbetmyanmar-app.com,keyword_match,55,MEDIUM,2026-07-26 15:47:03.159729+00:00
onlinecasinometbankoverschrijving.co.nl,http://onlinecasinometbankoverschrijving.co.nl,keyword_match,55,MEDIUM,2026-07-26 09:44:40.602007+00:00
onlinecasinobonuscode.co.nl,http://onlinecasinobonuscode.co.nl,keyword_match,55,MEDIUM,2026-07-26 09:55:07.696021+00:00
apps.onlinecasino1win-2694.ru,http://apps.onlinecasino1win-2694.ru,keyword_match,55,MEDIUM,2026-07-23 17:25:31.089594+00:00
www.1xbet-bk-guide.ru,http://www.1xbet-bk-guide.ru,keyword_match,55,MEDIUM,2026-07-26 11:38:27.397048+00:00
789wincasino.net,http://789wincasino.net,keyword_match,55,MEDIUM,2026-07-26 11:38:07.485485+00:00
plexbet-casino-179ef8f1.pages.dev,http://plexbet-casino-179ef8f1.pages.dev,keyword_match,55,MEDIUM,2026-07-23 19:04:19.804537+00:00
vicibetcasinos1.de,http://vicibetcasinos1.de,keyword_match,55,MEDIUM,2026-07-26 11:58:59.281858+00:00
crossbrand-melbet-multigeo-pinco-az.pages.dev,http://crossbrand-melbet-multigeo-pinco-az.pages.dev,keyword_match,55,MEDIUM,2026-07-24 05:18:27.368968+00:00
solojili.shop,http://solojili.shop,keyword_match,55,MEDIUM,2026-07-26 11:34:44.466498+00:00
jojobet-resmi-turkiye.icu,http://jojobet-resmi-turkiye.icu,keyword_match,55,MEDIUM,2026-07-24 05:13:34.510420+00:00
fambetcasino1.de,http://fambetcasino1.de,keyword_match,54,MEDIUM,2026-07-26 14:30:24.084665+00:00
melbet-kuwait.com,http://melbet-kuwait.com,keyword_match,54,MEDIUM,2026-07-26 17:21:51.765428+00:00
