url,domain,discovery_source,risk_score,risk_level,confirmed_live,investigated_at,live_at_export_time
http://1xbet-apk-argentina.com,1xbet-apk-argentina.com,keyword_match,41,MEDIUM,False,2026-07-24 18:40:48.834361+00:00,True
http://kampanya.casinomaxi9109.com,kampanya.casinomaxi9109.com,keyword_match,43,MEDIUM,False,2026-07-26 08:58:54.852794+00:00,True
http://melbet.ml,melbet.ml,keyword_match,26,LOW,False,2026-07-25 05:42:52.221529+00:00,True
http://pinupazerbaycan.co,pinupazerbaycan.co,keyword_match,41,MEDIUM,False,2026-07-25 14:28:27.253685+00:00,True
http://vulkan-vegas-bonus.it.com,vulkan-vegas-bonus.it.com,keyword_match,26,LOW,True,2026-07-24 10:17:31.963414+00:00,True
http://zebetcasino-be.eu.com,zebetcasino-be.eu.com,keyword_match,21,LOW,False,2026-07-24 13:04:23.034523+00:00,True
http://vulkanisme.nl,vulkanisme.nl,keyword_match,34,LOW,False,2026-07-24 14:28:50.078085+00:00,True
http://jilidayplay.com,jilidayplay.com,keyword_match,38,LOW,False,2026-07-25 00:53:53.749808+00:00,True
http://staging.newzealandonlinecasino.co,staging.newzealandonlinecasino.co,keyword_match,34,LOW,False,2026-07-25 23:17:35.656079+00:00,True
http://onixbet.bet,onixbet.bet,keyword_match,29,LOW,False,2026-07-25 19:42:51.409523+00:00,True
http://fortebetcasino.de.com,fortebetcasino.de.com,keyword_match,28,LOW,False,2026-07-25 11:11:32.713699+00:00,True
http://1xbet.srda.buzz,1xbet.srda.buzz,keyword_match,34,LOW,False,2026-07-25 08:03:21.441448+00:00,True
http://mostbet-azer-3-ink-d30aff78.pages.dev,mostbet-azer-3-ink-d30aff78.pages.dev,keyword_match,55,MEDIUM,False,2026-07-24 14:35:12.614548+00:00,True
http://www.freeinternshipincoimbatorein.inplanttraininginchennai.ind.in,www.freeinternshipincoimbatorein.inplanttraininginchennai.ind.in,keyword_match,34,LOW,False,2026-07-24 12:25:05.802371+00:00,True
http://www.1xbet-pk6m.top,www.1xbet-pk6m.top,keyword_match,28,LOW,False,2026-07-25 23:16:09.418494+00:00,True
http://7xbet.onl,7xbet.onl,keyword_match,22,LOW,False,2026-07-24 14:35:51.973951+00:00,True
http://m.jojobet-guncelseri.icu,m.jojobet-guncelseri.icu,keyword_match,28,LOW,False,2026-07-24 21:28:55.389801+00:00,True
http://cdn2.p2pincome.com,cdn2.p2pincome.com,keyword_match,28,LOW,False,2026-07-25 08:16:33.251463+00:00,True
